ja,en
装甲[そうこう]がもう持[も]たないぞ,the armor plating will not hold much longer; soukou means armor plating.
あいつ、素質[そしつ]だけはあるな,that guy at least has the raw makings; soshitsu means natural aptitude.
ここから反撃[はんげき]を始[はじ]めるぞ,we start the counterattack from here; hangeki means counterattack.
お前[まえ]、防御[ぼうぎょ]が甘[あま]いんだよ,your defense is way too soft; bougyo means defense.
盾[たて]の後[うし]ろに隠[かく]れてろ,stay hidden behind the shield; tate means shield.
ちゃんと構[かま]えろ、来[く]るぞ,take your stance properly because it is coming; kamaeru means to take a stance.
相手[あいて]の隙[すき]を狙[ねら]えよ,aim for your opponent's opening; suki means an opening.
間合[まあ]いを詰[つ]めるなって,do not close the distance; maai means fighting distance.
一気[いっき]に斬[き]るぞ、下[さ]がってろ,I will cut through in one go so step back; kiru means to slash.
動[うご]くな、ここから撃[う]つぞ,do not move because I will shoot from here; utsu means to shoot.
そこを突[つ]くのが俺[おれ]の狙[ねら]いだ,striking that spot is my aim; tsuku means to thrust.
その一撃[いちげき]を弾[はじ]くなんてな,to think you deflected that blow; hajiku means to deflect.
お前[まえ]の攻撃[こうげき]、全部[ぜんぶ]受[う]け止[と]めてやる,I will take every one of your attacks; uketomeru means to catch.
そいつ、銃[じゅう]を持[も]ってるぞ,that guy has a gun; juu means gun.
弾[たま]がもう残[のこ]ってないんだ,I have no bullets left; tama means bullet.
矢[や]が飛[と]んでくるぞ、伏[ふ]せろ,arrows are flying at us so get down; ya means arrow.
刀[かたな]を抜[ぬ]けよ、逃[に]げる気[き]か,draw your sword or are you running; katana means sword.
鎧[よろい]が重[おも]くて走[はし]れないぞ,the armor is heavy and I cannot run; yoroi means armor.
俺[おれ]は拳[こぶし]だけで十分[じゅうぶん]だ,my fists alone are enough for me; kobushi means fist.
基本[きほん]の型[かた]から教[おし]えてやる,I will teach you starting from the basic form; kata means form.
その傷跡[きずあと]、どうしたんだよ,how did you get that scar; kizuato means scar.
こんな痛[いた]みにはもう慣[な]れてる,I am already used to this kind of pain; itami means pain.
骨[ほね]が折[お]れてるかもしれないぞ,a bone might be broken; hone means bone.
その傷[きず]、毒[どく]が回[まわ]ってるぞ,the poison is spreading in that wound; doku means poison.
これ、どう見[み]ても罠[わな]だろ,this is a trap no matter how you look at it; wana means trap.
夜[よる]のうちに奇襲[きしゅう]をかけるぞ,we will hit them with a night raid; kishuu means surprise attack.
作戦[さくせん]どおりに動[うご]けよ,move according to the plan; sakusen means battle plan.
ここに陣[じん]を張[は]るしかないな,we have no choice but to camp here; jin means battle formation.
敵[てき]の陣地[じんち]はもうすぐそこだ,the enemy camp is right up ahead; jinchi means encampment.
こんな訓練[くんれん]、意味[いみ]あんのかよ,is this training even meaningful; kunren means training.
明日[あした]から修行[しゅぎょう]をやり直[なお]す,I will redo my training from tomorrow; shugyou means disciplined training.
これ、師匠[ししょう]に教[おそ]わった技[わざ]だ,this is a technique my master taught me; shishou means master.
頼[たの]むから弟子[でし]にしてくれよ,please just make me your disciple; deshi means disciple.
今度[こんど]の相手[あいて]は強敵[きょうてき]だぞ,our next opponent is a tough one; kyouteki means strong enemy.
これで勝利[しょうり]は俺[おれ]たちのものだ,with this the victory is ours; shouri means victory.
敗北[はいぼく]なんて認[みと]めないからな,I will never accept defeat; haiboku means defeat.
引[ひ]き分[わ]けじゃ意味[いみ]ないだろ,a draw would be meaningless; hikiwake means a draw.
もう一度[いちど]あいつに挑[いど]むつもりだ,I plan to challenge him one more time; idomu means to challenge.
相手[あいて]の挑発[ちょうはつ]に乗[の]るなよ,do not fall for his provocation; chouhatsu suru means to provoke.
ここで食[く]い止[と]めるしかないだろ,we have no choice but to hold them here; kuitomeru means to hold back.
そのまま突[つ]っ込[こ]むのは無茶[むちゃ]だろ,charging straight in like that is reckless; tsukkomu means to charge in.
迷[まよ]わず中[なか]に飛[と]び込[こ]むぞ,I will dive inside without hesitating; tobikomu means to leap in.
あいつ、一人[ひとり]で駆[か]け出[だ]しやがった,that guy took off running by himself; kakedasu means to dash off.
ここまで追[お]い詰[つ]めたんだ、逃[に]がすかよ,I cornered you this far so no escape; oitsumeru means to corner.
後[うし]ろから忍[しの]び寄[よ]るつもりだな,he plans to creep up from behind; shinobiyoru means to sneak up.
もう少[すこ]し中[なか]を探[さぐ]るぞ,we will probe a bit deeper inside; saguru means to probe.
その手[て]はもう見破[みやぶ]ってるんだ,I already saw through that trick; miyaburu means to see through a ruse.
後[うし]ろに変[へん]な気配[けはい]を感[かん]じた,I felt a strange presence behind me; kehai means presence.
この先[さき]に何[なに]かが潜[ひそ]むはずだ,something must be lurking up ahead; hisomu means to lurk.
夜[よる]になったら襲[おそ]うつもりだな,they plan to attack once night falls; osou means to attack.
あいつの武器[ぶき]を奪[うば]うぞ,we are taking his weapon; ubau means to snatch away.
そんな力[ちから]で引[ひ]き裂[さ]くのかよ,are you ripping it apart with that much strength; hikisaku means to tear apart.
岩[いわ]ごと砕[くだ]くつもりかよ,are you going to smash the whole rock; kudaku means to shatter.
全部[ぜんぶ]燃[も]やすつもりなのか,does he intend to burn it all; moyasu means to burn.
川[かわ]ごと凍[こお]らせてやるよ,I will freeze the entire river; kooraseru means to freeze something.
その傷[きず]、早[はや]く治[なお]すぞ,let us heal that wound quickly; naosu means to heal.
今[いま]のうちに攻[せ]めた方[ほう]がいい,we should attack while we still can; semeru means to go on the offensive.
その手[て]、振[ふ]り払[はら]うなよ,do not shake that hand away; furiharau means to shake off.
この一撃[いちげき]で貫[つらぬ]くしかない,I can only pierce through with this blow; tsuranuku means to pierce.
まとめて吹[ふ]き飛[と]ばしてやる,I will blow them all away at once; fukitobasu means to blow away.
なんとか押[お]し返[かえ]せそうだぞ,it looks like we can push them back; oshikaesu means to push back.
動[うご]けないように縛[しば]るぞ,I will tie him up so he cannot move; shibaru means to tie up.
こんな所[ところ]に閉[と]じ込[こ]められたのか,so we were locked up in a place like this; tojikomeru means to shut in.
今夜[こんや]のうちに抜[ぬ]け出[だ]すぞ,we are slipping out tonight; nukedasu means to slip out.
まずは生[い]き延[の]びることを考[かんが]えろ,think about surviving first; ikinobiru means to survive.
相手[あいて]の裏[うら]をかくしかないな,we have to outwit our opponent; ura o kaku means to outsmart.
急所[きゅうしょ]を狙[ねら]えば一発[いっぱつ]だ,one shot is enough if you aim for the vital spot; kyuusho means vital spot.
今[いま]の技[わざ]、威力[いりょく]がすごいな,that technique has incredible force; iryoku means destructive power.
さっきから変[へん]な殺気[さっき]がするんだ,I have been sensing a strange bloodlust; sakki means bloodlust.
刀[かたな]を抜[ぬ]き放[はな]つ音[おと]がしたぞ,I heard a blade being drawn; nukihanatsu means to draw a blade.
そろそろ本当[ほんとう]の力[ちから]が目覚[めざ]めるぞ,his true power is about to awaken; mezameru means to awaken.
二人[ふたり]で押[お]さえ込[こ]むぞ,the two of us will pin him down; osaekomu means to hold down.
このまま応戦[おうせん]するしかないな,we can only keep fighting back like this; ousen suru means to fight back.
あいつの執念[しゅうねん]は普通[ふつう]じゃない,his tenacity is not normal; shuunen means tenacity.
先[さき]に鍵[かぎ]を盗[ぬす]むしかないだろ,we have to steal the key first; nusumu means to steal.
その賞金[しょうきん]、俺[おれ]がもらうぞ,I am taking that bounty; shoukin means bounty money.
こんな依頼[いらい]、受[う]けるんじゃなかった,I should never have taken this job; irai means a request.
これが俺[おれ]たちの宿命[しゅくめい]なのか,is this our destiny; shukumei means destiny.
ここから先[さき]は俺[おれ]が護衛[ごえい]する,I will guard you from here on; goei suru means to escort.
あの一族[いちぞく]の生[い]き残[のこ]りらしいぞ,he is apparently a survivor of that clan; ichizoku means clan.
魔石[ませき]がもう光[ひか]ってないぞ,the magic stone is not glowing anymore; maseki means magic stone.
魔力[まりょく]をこれ以上[いじょう]使[つか]うなよ,do not use any more magic power; maryoku means magical power.
古[ふる]い魔術[まじゅつ]の本[ほん]を見[み]つけた,I found an old book of sorcery; majutsu means sorcery.
その呪文[じゅもん]、もう一回[いっかい]頼[たの]む,say that spell one more time; jumon means incantation.
これ、呪[のろ]いかもしれないぞ,this might be a curse; noroi means curse.
結界[けっかい]が壊[こわ]れかけてるぞ,the barrier is about to break; kekkai means magical barrier.
封印[ふういん]が解[と]けたみたいだな,the seal seems to have come undone; fuuin means seal.
その力[ちから]を封[ふう]じるしかない,we can only seal that power away; fuujiru means to seal away.
儀式[ぎしき]はもう始[はじ]まってるって,the ritual has already started; gishiki means ritual.
あの予言[よげん]、当[あ]たったみたいだな,that prophecy seems to have come true; yogen means prophecy.
精霊[せいれい]の声[こえ]が聞[き]こえるんだ,I can hear the voice of a spirit; seirei means elemental spirit.
妖精[ようせい]なんて本当[ほんとう]にいるのか,do fairies really exist; yousei means fairy.
あいつ、妖怪[ようかい]だったのかよ,so that guy was a yokai; youkai means a supernatural creature.
幽霊[ゆうれい]なんているわけないだろ,there is no way ghosts exist; yuurei means ghost.
魂[たましい]まで持[も]っていかれるぞ,even your soul will be taken; tamashii means soul.
その護符[ごふ]、絶対[ぜったい]に外[はず]すなよ,never take that talisman off; gofu means protective charm.
女神[めがみ]に会[あ]ったって言[い]うのか,are you saying that you met a goddess; megami means goddess.
あいつは悪魔[あくま]みたいな奴[やつ]だ,that guy is like a demon; akuma means demon.
天使[てんし]の絵[え]が壁[かべ]にあるぞ,there is a painting of an angel on the wall; tenshi means angel.
この国[くに]の王[おう]に会[あ]いに行[い]く,I am going to meet the king of this country; ou means king.
王女[おうじょ]を無事[ぶじ]に連[つ]れて帰[かえ]るぞ,we will bring the princess back safely; oujo means princess.
この王国[おうこく]はもう長[なが]くないな,this kingdom will not last much longer; oukoku means kingdom.
帝国[ていこく]の連中[れんちゅう]が動[うご]き出[だ]した,the people of the empire have started moving; teikoku means empire.
あいつ、本物[ほんもの]の騎士[きし]なんだって,they say he is a real knight; kishi means knight.
勇者[ゆうしゃ]なんて呼[よ]ばれても困[こま]る,being called a hero just troubles me; yuusha means hero.
魔王[まおう]を倒[たお]せば終[お]わりなのか,will it be over if we defeat the demon lord; maou means demon lord.
この辺[へん]は魔物[まもの]が多[おお]いらしい,there seem to be many monsters around here; mamono means magical beast.
あの空[そら]にいるの、竜[りゅう]だろ,that thing in the sky is a dragon; ryuu means dragon.
こんな獣[けもの]、見[み]たことないぞ,I have never seen a beast like this; kemono means beast.
あんなの完全[かんぜん]に化[ば]け物[もの]じゃん,that thing is totally a monster; bakemono means monster.
怪物[かいぶつ]の声[こえ]が下[した]から聞[き]こえる,I hear a monster's voice from below; kaibutsu means monster.
こいつを召喚[しょうかん]したのは誰[だれ]だよ,who summoned this thing; shoukan suru means to summon.
人[ひと]の心[こころ]を操[あやつ]るなんて最低[さいてい]だ,manipulating people's hearts is the worst; ayatsuru means to manipulate.
この辺[へん]を支配[しはい]してる奴[やつ]がいる,someone rules over this area; shihai suru means to rule.
そんなこと、誰[だれ]も命[めい]じてないぞ,nobody ordered anything like that; meijiru means to command.
黙[だま]って従[したが]う気[き]はないね,I have no intention of quietly obeying; shitagau means to obey.
そんな契約[けいやく]、するわけないだろ,there is no way I would make that contract; keiyaku means contract.
ここ、異世界[いせかい]ってやつかよ,is this place one of those other worlds; isekai means another world.
転生[てんせい]したって信[しん]じてもらえない,nobody believes that I was reborn; tensei means reincarnation.
さっきの転移[てんい]、体[からだ]がきついな,that teleport just now was rough on my body; ten-i means teleportation.
あいつの復活[ふっかつ]はもう止[と]められない,his revival can no longer be stopped; fukkatsu means revival.
死[し]んだ奴[やつ]が蘇[よみがえ]るわけないだろ,there is no way the dead come back; yomigaeru means to come back to life.
変身[へんしん]しないとこいつには勝[か]てない,I cannot beat this thing without transforming; henshin suru means to transform.
お前[まえ]の能力[のうりょく]、どこまでいけるんだ,how far can your ability go; nouryoku means ability.
聖剣[せいけん]なんて本当[ほんとう]にあるのか,does a holy sword really exist; seiken means holy sword.
その宝[たから]、渡[わた]す気[き]はないぞ,I am not handing over that treasure; takara means treasure.
これが俺[おれ]の一番[いちばん]の宝物[たからもの]なんだ,this is my most precious treasure; takaramono means prized possession.
財宝[ざいほう]はこの奥[おく]にあるはずだ,the hoard should be deeper inside; zaihou means treasure hoard.
あの洞窟[どうくつ]には近[ちか]づくなよ,do not go near that cave; doukutsu means cave.
あの塔[とう]の上[うえ]まで登[のぼ]るぞ,we are climbing to the top of that tower; tou means tower.
城[しろ]の中[なか]、静[しず]かすぎるだろ,it is way too quiet inside the castle; shiro means castle.
この村[むら]、誰[だれ]も残[のこ]ってないぞ,there is nobody left in this village; mura means village.
森[もり]の奥[おく]で何[なに]かが動[うご]いた,something moved deep in the forest; mori means forest.
あの島[しま]には誰[だれ]も住[す]んでない,nobody lives on that island; shima means island.
この遺跡[いせき]、まだ生[い]きてるみたいだ,these ruins still seem to be alive; iseki means ruins.
神殿[しんでん]の奥[おく]には行[い]くなよ,do not go into the depths of the temple; shinden means temple.
こんな所[ところ]に墓[はか]があるなんてな,to think there is a grave in a place like this; haka means grave.
松明[たいまつ]の火[ひ]が消[き]えそうだ,the torch flame is about to go out; taimatsu means torch.
変[へん]な影[かげ]が動[うご]いてないか,is that a strange shadow moving; kage means shadow.
炎[ほのお]がこっちまで来[き]てるぞ,the flames are reaching us over here; honoo means flame.
足元[あしもと]が氷[こおり]になってるぞ,the ground under us has turned to ice; koori means ice.
さっきの雷[かみなり]、普通[ふつう]じゃないな,that lightning just now was not normal; kaminari means lightning.
煙[けむり]で前[まえ]が見[み]えないぞ,I cannot see ahead through the smoke; kemuri means smoke.
早[はや]くしないと爆発[ばくはつ]するぞ,it will blow up if we do not hurry; bakuhatsu suru means to explode.
爆弾[ばくだん]がまだ残[のこ]ってるらしい,apparently a bomb is still left; bakudan means bomb.
その機械[きかい]、まだ動[うご]くのかよ,does that machine still work; kikai means machine.
装置[そうち]を止[と]めないとまずいぞ,we are in trouble unless we stop the device; souchi means device.
こんな兵器[へいき]、使[つか]わせるかよ,like hell I will let them use this weapon; heiki means weapon of war.
実験[じっけん]はもう終[お]わってるってさ,they say the experiment is already finished; jikken means experiment.
研究所[けんきゅうじょ]に戻[もど]るぞ、急[いそ]げ,get back to the lab and hurry up; kenkyuujo means laboratory.
博士[はかせ]なら奥[おく]の部屋[へや]にいるよ,the professor is in the back room; hakase means professor.
その記録[きろく]、まだ残[のこ]ってるのか,is that record still around; kiroku means record.
装備[そうび]がこれだけじゃ足[た]りないな,this much gear is not going to be enough; soubi means equipment.
通信[つうしん]が切[き]れたみたいだぞ,the transmission seems to have cut out; tsuushin means communication.
変[へん]な信号[しんごう]を拾[ひろ]ったんだ,I picked up a strange signal; shingou means signal.
制御[せいぎょ]がもう効[き]いてないぞ,the controls are not responding anymore; seigyo means control.
力[ちから]が暴走[ぼうそう]してるだけだ,his power is simply running wild; bousou means going out of control.
兵士[へいし]たちがこっちに来[く]るぞ,soldiers are heading this way; heishi means soldier.
うちの部隊[ぶたい]は先[さき]に行[い]く,our unit is going on ahead; butai means unit.
隊長[たいちょう]の話[はなし]、聞[き]いてたのかよ,were you even listening to the captain; taichou means squad captain.
これは命令[めいれい]だ、下[さ]がってろ,this is an order so stand back; meirei means order.
任務[にんむ]はまだ終[お]わってないぞ,the mission is not over yet; ninmu means mission.
合図[あいず]で突撃[とつげき]するからな,we charge on the signal; totsugeki means a charge.
ここは撤退[てったい]した方[ほう]がいいって,we really should pull back here; tettai means retreat.
もう包囲[ほうい]されてるみたいだな,it seems we are already surrounded; houi means encirclement.
夜[よる]のうちに潜入[せんにゅう]するぞ,we will infiltrate during the night; sennyuu suru means to sneak in.
早[はや]くここから脱出[だっしゅつ]するぞ,let us get out of here fast; dasshutsu suru means to escape.
人質[ひとじち]がまだ中[なか]にいるんだ,a hostage is still inside; hitojichi means hostage.
全員[ぜんいん]を救出[きゅうしゅつ]してから逃[に]げるぞ,we run after rescuing everyone; kyuushutsu suru means to rescue.
今[いま]さら仲間割[なかまわ]れかよ,infighting at a time like this; nakamaware means infighting.
あの組織[そしき]の連中[れんちゅう]だろうな,they must be from that organization; soshiki means organization.
全部[ぜんぶ]あいつの陰謀[いんぼう]だったのか,was all of it his conspiracy; inbou means conspiracy.
さっきから誰[だれ]かに尾行[びこう]されてる,someone has been tailing me for a while; bikou suru means to shadow.
今度[こんど]の事件[じけん]、何[なん]か変[へん]だよな,something is off about this case; jiken means incident.
犯人[はんにん]はこの中[なか]にいるはずだ,the culprit has to be among us; hannin means culprit.
証拠[しょうこ]なんてどこにもないぞ,there is no evidence anywhere; shouko means evidence.
手掛[てが]かりが一[ひと]つもないんだよ,we do not have a single clue; tegakari means clue.
現場[げんば]をもう一度[いちど]見[み]に行[い]くぞ,we are going to look at the scene again; genba means the scene.
調査[ちょうさ]は今日[きょう]までにしよう,let us wrap up the survey today; chousa means investigation.
捜査[そうさ]はまだ続[つづ]いてるらしい,the criminal investigation is apparently still going; sousa means police investigation.
誰[だれ]かが目撃[もくげき]してたみたいだ,it looks like someone witnessed it; mokugeki suru means to witness.
追跡[ついせき]はもうばれてるぞ,they already know we are tailing them; tsuiseki means pursuit.
ここ、監視[かんし]されてるかもな,this place might be under surveillance; kanshi means surveillance.
逮捕[たいほ]されたら全部[ぜんぶ]終[お]わりだ,if we get arrested it is all over; taiho means arrest.
全部[ぜんぶ]暴[あば]くまで終[お]われないんだ,I cannot stop until I expose everything; abaku means to expose.
必[かなら]ず正体[しょうたい]を突[つ]き止[と]めてやる,I will definitely pin down who he really is; tsukitomeru means to track down.
これも生[う]まれた時[とき]からの定[さだ]めだ,this too was decided the moment I was born; sadame means destiny.
あの日[ひ]の誓[ちか]いを今[いま]も忘[わす]れていない,I still have not forgotten the oath of that day; chikai means oath.
最後[さいご]まで自分[じぶん]の役目[やくめ]を全[まっと]うする,I will carry out my duty to the very end; mattou suru means to fulfill completely.
一人[ひとり]で全部[ぜんぶ]背負[せお]うつもりか,do you intend to shoulder it all alone; seou means to shoulder.
その罪[つみ]は一生[いっしょう]消[き]えない,that sin will never disappear for a lifetime; tsumi means sin.
これがお前[まえ]の受[う]けるべき罰[ばつ]だ,this is the punishment you deserve; batsu means punishment.
兄[あに]の仇討[あだう]ちのために旅[たび]に出[で]た,I set out on a journey to avenge my brother; adauchi means vendetta.
誇[ほこ]りを捨[す]てるくらいなら死[し]んだ方[ほう]がましだ,I would rather die than throw away my pride; hokori means pride.
俺[おれ]はこの仲間[なかま]たちを誇[ほこ]る,I take pride in these comrades of mine; hokoru means to be proud of.
名誉[めいよ]のために戦[たたか]う者[もの]もいる,there are those who fight for honor; meiyo means honor.
この負[ま]けは一生[いっしょう]の恥[はじ]になる,this defeat will be a lifelong shame; haji means shame.
自分[じぶん]の弱[よわ]さを恥[は]じることはない,there is no need to be ashamed of your weakness; hajiru means to feel shame.
あいつは人[ひと]の上[うえ]に立[た]つ器[うつわ]ではない,he is not the caliber to stand above others; utsuwa means personal capacity.
全[すべ]てを失[うしな]って初[はじ]めて悟[さと]る,only after losing everything do I understand; satoru means to realize.
悟[さと]りを開[ひら]くには長[なが]い時間[じかん]がいる,attaining enlightenment takes a long time; satori means enlightenment.
人[ひと]の欲望[よくぼう]には終[お]わりがない,human desire has no end; yokubou means desire.
あの男[おとこ]の野望[やぼう]はもう止[と]まらない,that man's ambition can no longer be stopped; yabou means ambition.
過去[かこ]への執着[しゅうちゃく]を今[いま]すぐ捨[す]てろ,throw away your attachment to the past right now; shuuchaku means obsession.
俺[おれ]たちには戦[たたか]うだけの大義[たいぎ]がある,we have a just cause worth fighting for; taigi means great cause.
信念[しんねん]だけは曲[ま]げるつもりはない,my conviction is the one thing I will not bend; shinnen means conviction.
王家[おうけ]の血[ち]を引[ひ]く者[もの]はもう少[すく]ない,few are left who carry the royal blood; ouke means royal house.
帝国[ていこく]に領土[りょうど]を奪[うば]われたままだ,our territory is still taken by the empire; ryoudo means territory.
皇帝[こうてい]の言葉[ことば]は誰[だれ]にも変[か]えられない,no one can change the emperor's word; koutei means emperor.
貴族[きぞく]の子[こ]として生[う]まれてしまった,I happened to be born a child of the nobility; kizoku means aristocrat.
この一門[いちもん]を背負[せお]う覚悟[かくご]はあるか,do you have the resolve to carry this house; ichimon means clan.
お前[まえ]には王[おう]の血筋[ちすじ]が流[なが]れている,the blood of kings flows in you; chisuji means lineage.
一族[いちぞく]の掟[おきて]は絶対[ぜったい]だ,the clan's code is absolute; okite means unwritten law.
この街[まち]は闇[やみ]の力[ちから]に支配[しはい]されている,this town is ruled by a dark power; shihai means domination.
権力[けんりょく]は人[ひと]を変[か]えてしまう,power ends up changing people; kenryoku means political power.
敵[てき]の謀略[ぼうりゃく]に気[き]づくのが遅[おそ]かった,we noticed the enemy's machination too late; bouryaku means stratagem.
人々[ひとびと]がついに反乱[はんらん]を起[お]こした,the people finally rose in rebellion; hanran means rebellion.
二[ふた]つの国[くに]が同盟[どうめい]を結[むす]んだ,the two countries formed an alliance; doumei means alliance.
敵[てき]の軍[ぐん]がこちらに向[む]かってくる,the enemy army is heading this way; gun means army.
あの武将[ぶしょう]は一度[いちど]も負[ま]けていない,that commander has never lost even once; bushou means military commander.
わずかな兵[へい]でこの門[もん]を守[まも]る,we hold this gate with only a few troops; hei means troops.
ここで退[しりぞ]くわけにはいかない,I cannot afford to back down here; shirizoku means to withdraw.
夜[よる]が明[あ]けたら進軍[しんぐん]を始[はじ]める,we begin the advance once the night ends; shingun means military advance.
この城[しろ]で籠城[ろうじょう]を続[つづ]けるしかない,all we can do is hold out inside this castle; roujou means holding a castle under siege.
街[まち]は一晩[ひとばん]で壊滅[かいめつ]した,the town was wiped out in a single night; kaimetsu means annihilation.
この戦[たたか]いで多[おお]くの犠牲者[ぎせいしゃ]が出[で]た,many victims came out of this battle; giseisha means victim.
ここは戦[いくさ]の後[あと]に残[のこ]った廃墟[はいきょ]だ,this is a ruin left behind after the war; haikyo means ruins.
戦[いくさ]の後[あと]この地[ち]は焦土[しょうど]と化[か]した,after the war this land turned into scorched earth; shoudo means scorched earth.
生存者[せいぞんしゃ]はまだ見[み]つかっていない,no survivors have been found yet; seizonsha means survivor.
遺体[いたい]を故郷[こきょう]に返[かえ]してやりたい,I want to return the body to its homeland; itai means corpse.
せめて遺骨[いこつ]だけでも家族[かぞく]に渡[わた]したい,I want to hand at least the remains to the family; ikotsu means the bones of the dead.
これがあいつへのせめてもの弔[とむら]いだ,this is the least I can offer as mourning for him; tomurai means memorial rite.
死[し]んだ仲間[なかま]を静[しず]かに弔[とむら]う,we quietly mourn our fallen comrades; tomurau means to mourn.
これが母[はは]の遺言[ゆいごん]だった,these were my mother's dying words; yuigon means last will.
父[ちち]の遺志[いし]は俺[おれ]が守[まも]る,I will protect my father's dying wish; ishi means the will of the deceased.
このまま終[お]わるのは無念[むねん]だ,ending like this fills me with bitter regret; munen means chagrin.
俺[おれ]たちの因縁[いんねん]は昔[むかし]から続[つづ]いている,the bad blood between us goes back a long way; innen means fateful bond.
これも俺[おれ]が背負[せお]う業[ごう]なのだろう,this too must be the karma I carry; gou means karma.
誰[だれ]もが真理[しんり]を求[もと]めている,everyone is searching for truth; shinri means truth.
物事[ものごと]の本質[ほんしつ]を見[み]る目[め]を持[も]て,have an eye for the essence of things; honshitsu means essence.
お前[まえ]の話[はなし]には矛盾[むじゅん]がある,there is a contradiction in your story; mujun means contradiction.
これも運命[うんめい]の皮肉[ひにく]というものだ,this too is one of fate's ironies; hiniku means irony.
この旗[はた]は自由[じゆう]の象徴[しょうちょう]だ,this flag is a symbol of freedom; shouchou means symbol.
ここには時間[じかん]という概念[がいねん]がない,here there is no such concept as time; gainen means concept.
平和[へいわ]など幻想[げんそう]だと言[い]うのか,are you saying peace is only an illusion; gensou means illusion.
それはお前[まえ]の妄想[もうそう]にすぎない,that is nothing more than your delusion; mousou means delusion.
強[つよ]くなったというのは錯覚[さっかく]だ,thinking you have grown stronger is a false impression; sakkaku means illusion.
これも自然[しぜん]の摂理[せつり]なのだ,this too is the providence of nature; setsuri means providence.
命[いのち]は輪廻[りんね]を繰[く]り返[かえ]すという,they say life repeats the cycle of rebirth; rinne means reincarnation.
お前[まえ]に慈悲[じひ]をかけるつもりはない,I have no intention of showing you mercy; jihi means mercy.
これが俺[おれ]なりの贖罪[しょくざい]だ,this is atonement in my own way; shokuzai means atonement.
命[いのち]をもって償[つぐな]いとしよう,let my life serve as the payment; tsugunai means recompense.
どうやってこの罪[つみ]を償[つぐな]うのか,how am I supposed to atone for this sin; tsugunau means to atone.
受[う]けた恩[おん]には必[かなら]ず報[むく]いる,I will always repay a kindness I have received; mukuiru means to repay.
報復[ほうふく]はさらなる報復[ほうふく]を生[う]むだけだ,retaliation only breeds more retaliation; houfuku means retaliation.
二[ふた]つの家[いえ]の間[あいだ]に深[ふか]い遺恨[いこん]がある,there is a deep grudge between the two houses; ikon means lingering grudge.
あの目[め]には憎悪[ぞうお]しかない,there is nothing but hatred in those eyes; zouo means hatred.
この地[ち]には強[つよ]い怨念[おんねん]が残[のこ]っている,a powerful vengeful spirit lingers in this land; onnen means vengeful grudge.
過去[かこ]の亡霊[ぼうれい]にずっと追[お]われている,I have been chased by the ghosts of my past; bourei means ghost.
ついに宿敵[しゅくてき]と向[む]き合[あ]う時[とき]が来[き]た,the time to face my sworn enemy has finally come; shukuteki means arch rival.
三日[みっか]に及[およ]ぶ死闘[しとう]だった,it was a death struggle lasting three days; shitou means desperate fight.
明日[あす]がついに決戦[けっせん]の日[ひ]だ,tomorrow is at last the day of the decisive battle; kessen means decisive battle.
戦況[せんきょう]はこちらに不利[ふり]だ,the state of the battle is against us; senkyou means war situation.
前線[ぜんせん]の兵[へい]たちはもう限界[げんかい]だ,the troops on the front line are at their limit; zensen means front line.
最後[さいご]まで隊列[たいれつ]を崩[くず]すな,do not break the ranks until the very end; tairetsu means column of troops.
敵[てき]の軍勢[ぐんぜい]が山[やま]を越[こ]えてきた,the enemy forces have come over the mountain; gunzei means armed forces.
援軍[えんぐん]が来[く]るまで持[も]ちこたえろ,hold out until the reinforcements arrive; engun means reinforcements.
この場[ば]の指揮[しき]は俺[おれ]が執[と]る,I will take command here; shiki means command.
将軍[しょうぐん]が自[みずか]ら前[まえ]に出[で]てきた,the general himself came out to the front; shougun means general.
参謀[さんぼう]の言[い]う通[とお]りに動[うご]く,we move exactly as the chief strategist says; sanbou means staff officer.
相手[あいて]の戦略[せんりゃく]を先[さき]に読[よ]め,read the opponent's strategy before he moves; senryaku means strategy.
その戦術[せんじゅつ]はもう通用[つうよう]しない,that tactic will not work anymore; senjutsu means tactics.
夜襲[やしゅう]をかけるなら今夜[こんや]しかない,if we are to make a night raid it has to be tonight; yashuu means night attack.
隣[となり]の国[くに]が侵略[しんりゃく]を始[はじ]めた,the neighboring country has begun an invasion; shinryaku means invasion.
世界[せかい]を征服[せいふく]するつもりらしい,it seems he means to conquer the world; seifuku means conquest.
わずか一日[いちにち]で街[まち]を制圧[せいあつ]した,they subdued the town in only one day; seiatsu means suppression.
王[おう]は討伐[とうばつ]の命令[めいれい]を出[だ]した,the king issued an order for a punitive expedition; toubatsu means subjugation.
捕虜[ほりょ]をひどく扱[あつか]うな,do not treat the prisoners cruelly; horyo means prisoner of war.
あの方[かた]は城[しろ]の奥[おく]に幽閉[ゆうへい]されている,that person is confined deep inside the castle; yuuhei means confinement.
今[いま]すぐ停戦[ていせん]を申[もう]し入[い]れよう,let us propose a ceasefire immediately; teisen means ceasefire.
降伏[こうふく]するなら命[いのち]は取[と]らない,if you surrender I will not take your life; koufuku means surrender.
あの男[おとこ]も交渉[こうしょう]の場[ば]に出[で]てくるはずだ,that man should show up at the negotiating table too; koushou means negotiation.
二人[ふたり]の間[あいだ]には密約[みつやく]があった,there was a secret pact between the two of them; mitsuyaku means secret agreement.
