ja,en
**余[よ]**,I (used by a monarch); (pron) an archaic grandiose first person reserved for a monarch addressing subjects.
**おいら**,I (rough and rustic); (pron) a rustic cheerful first person marking a plain-talking country type.
**人形[にんぎょう]**,doll; (n) literally person shape for dolls and marionettes also someone acting without will.
**差[さ]し上[あ]げる**,to give (humble); (v) for humbly handing something up to a superior lowering yourself in the act.
**負[ま]け**,a loss; (n) for conceding defeat in a contest and admitting the other side won.
**試合[しあい]**,match; (n) for a scheduled bout fought under agreed rules before spectators.
**誓[ちか]う**,to swear; (v) for making a solemn vow before someone whose authority binds you.
**なくなる**,to be gone; (v) for stock running out or an object vanishing also a euphemism for dying.
**風[かぜ]**,wind; (n) for moving air and also for a manner or style in set expressions.
**無視[むし]**,ignoring; (n) for nothing plus look meaning you deliberately pretend not to notice something.
**きれい**,pretty; (na-adj) covering pretty and spotless and it inflects like a na-adjective despite appearances.
**得意[とくい]**,good at something; (na-adj) for a skill you feel confident in also meaning visibly smug.
**起[お]こす**,to wake someone; (v) for rousing another person from sleep or for causing an incident.
**巻[ま]き込[こ]む**,to drag someone into something; (v) literally rolling someone in for dragging them into trouble never theirs.
**喧嘩[けんか]**,a fight; (n) for a personal brawl or quarrel between two people.
**順調[じゅんちょう]**,going smoothly; (na-adj) for a process staying on track never said of a person.
**集[あつ]まる**,to gather (of people); (v) for people coming together on their own without being collected.
**大量[たいりょう]**,a large amount; (n) for bulk quantity of stuff used before the thing counted.
**空間[くうかん]**,space; (n) for empty three-dimensional space including pocket dimensions in this world.
**残[のこ]す**,to leave behind; (v) for leaving something behind deliberately including food you did not eat.
**進[すす]む**,to advance; (v) for forward movement and for progress being made on something.
**対応[たいおう]**,dealing with; (n) for responding to whatever comes at you a problem or a customer.
**邪悪[じゃあく]**,evil; (na-adj) for heavy literary evil in a being's very nature rare in speech.
**黒幕[くろまく]**,the mastermind pulling the strings; (n) literally black curtain from kabuki stagehands naming the hidden schemer.
**現[あらわ]れる**,to appear; (v) for something hidden becoming visible often a dramatic entrance.
**卑怯[ひきょう]**,cowardly; (na-adj) accusing someone of unfair tactics or cowardice shouted in the heat.
**地下[ちか]**,underground; (n) literally earth under for anything below ground level including basements.
**種[しゅ]**,species; (n) for a biological species and a counter for kinds of things.
**暴[あば]れる**,to rampage; (v) for thrashing about and wrecking things with no control at all.
**ああ**,like that; (adv) pointing at a manner meaning in that way also a drawn-out agreement.
**おとなしい**,quiet; (i-adj) for being docile and giving nobody trouble often aimed at children.
**重要[じゅうよう]**,important; (na-adj) for objective significance in a matter weighing on an outcome.
**人類[じんるい]**,humanity; (n) for the human species taken as a whole across all nations.
**優[やさ]しい**,kind; (i-adj) for gentleness in how you treat others also easy on the body.
**学園[がくえん]**,academy; (n) for a private school complex with a grand prestigious name.
**到着[とうちゃく]**,arrival; (n) for arrival in formal register fit for announcements and written reports.
**光[ひかり]**,light; (n) for light as a visible thing you can point at.
**覚醒[かくせい]**,awakening to a higher power; (n) literally waking clear for the moment a latent power activates.
**平和[へいわ]**,peace; (n) for the state of no war between groups larger than individuals.
**一応[いちおう]**,more or less; (adv) hedging that something is enough for now and done just in case.
**体内[たいない]**,inside the body; (n) literally body inside for the anatomical interior common in skill explanations.
**ゲーム**,game; (n) Loanword noun for video and board games and also a sporting contest.
**寂[さび]しい**,lonely; (i-adj) for the ache of something missing covering desolate places too.
**求[もと]める**,to seek; (v) for actively seeking or demanding what you feel you need.
**夜[よる]**,night; (n) for the night hours treated as a stretch of time.
**昨日[きのう]**,yesterday; (n) for the day before today also standing for a recently finished matter.
**増[ふ]える**,to increase by itself; (v) for numbers rising on their own without anyone adding to them.
**無茶[むちゃ]**,reckless; (na-adj) for acting with no regard for sense or safe limits.
**断[ことわ]る**,to refuse; (v) for refusing an offer or request cutting the matter off cleanly.
**正解[せいかい]**,the correct answer; (n) for the one right answer also praising a shrewd decision.
**指導[しどう]**,guidance; (n) literally pointing and leading for a senior guiding growth over time.
**叩[たた]く**,to hit; (v) for striking with a flat hand also knocking on a door.
**若[わか]い**,young; (i-adj) for few years lived also implying immature judgment.
**ちなみに**,by the way; (exp) adding a related side fact that just occurred to the speaker.
**おっしゃる**,to say (honorific); (v) honorific for speech belonging to the person you respect never your own.
**疑[うたが]う**,to doubt; (v) for suspecting a person or claim of being false which accuses them.
**都合[つごう]**,convenience; (n) for how circumstances suit you covering schedule and funds and convenience.
**引[ひ]く**,to pull; (v) for pulling toward yourself also withdrawing from an affair or drawing cards.
**味方[みかた]**,ally; (n) for anyone standing in your camp during a fight.
**光栄[こうえい]**,an honor; (n) for the pride you feel when someone treats you as important.
**全力[ぜんりょく]**,all one's strength; (n) naming maximum effort you pour out and never inborn talent.
**道化[どうけ]**,clown; (n) for someone acting foolish to amuse others and often thrown as an insult.
**点[てん]**,point; (n) stretching from a mark on paper to a match score or argument aspect.
**神聖[しんせい]**,holy; (na-adj) for places and rites set apart by religion and never for kind people.
**開催[かいさい]**,holding an event; (n) for staging a tournament or festival so it needs a scheduled public occasion.
**証拠[しょうこ]**,evidence; (n) for hard proof you can physically produce in an argument or trial.
**ランク**,rank; (n) naming a graded tier the guild assigns to adventurers and monsters.
**選手[せんしゅ]**,contestant; (n) for someone picked to compete in a tournament and never a soldier.
**使[つか]い**,errand; (n) covering both the errand itself and the person sent to run it.
**開[ひら]く**,to open; (v) for what unfolds or spreads such as a mouth a book a meeting.
**同時[どうじ]**,the same time; (n) for simultaneity appearing almost only as an adverb inside longer time phrases.
**検討[けんとう]**,consideration; (n) for weighing a concrete plan and in business a polite way to stall.
**破壊[はかい]**,destruction; (n) for physically wrecking a thing or place and leaving rubble behind.
**毒[どく]**,poison; (n) covering poison venom and toxin and also a barbed cutting remark.
**息子[むすこ]**,son; (n) a father uses plainly of his own boy and politely of another man's.
**念[ねん]**,thought; (n) for focused thought or care aimed at something and it rarely stands alone.
**変[か]える**,to change something; (v) for altering something else so it always takes an object you act on.
**人物[じんぶつ]**,a person; (n) for a person sized up as a character so reports and assessments use it.
**野郎[やろう]**,bastard; (n) cursing men only and literally saying field fellow so it starts fights.
**いらっしゃる**,to be or come or go (honorific); (v) Honorific verb covering being coming and going at once and never used of yourself.
**果[は]たす**,to fulfill; (v) for carrying a duty or a vow through to the very end.
**知恵[ちえ]**,wisdom; (n) for practical wit that gets you out of a tight fix.
**ご覧[らん]**,take a look; (exp) Polite expression inviting a superior to look and gently urging a child to try.
**肉体[にくたい]**,the physical body; (n) for flesh used when the soul is what stands opposed to it.
**応[おう]じる**,to respond; (v) for answering a request or a challenge by accepting it.
**目覚[めざ]める**,to awaken; (v) for waking though usually figurative for a hidden power stirring inside.
**自身[じしん]**,oneself; (n) leaning on a preceding pronoun or name purely to add emphasis.
**下[くだ]る**,to go down; (v) for orders judgments and sentences descending from an authority above you.
**先[さき]ほど**,a moment ago (polite); (n) Polite noun pointing inside the current conversation so it spans minutes not hours.
**ふざける**,to fool around; (v) for acting unserious and its negative command means do not screw around.
**せいぜい**,at most; (adv) capping an estimate dismissively and turning sarcastic when applied to effort.
**渡[わた]す**,to hand over; (v) for passing an object across to someone with entirely neutral register.
**ふさわしい**,fitting; (i-adj) praising how well someone matches a role and never their raw skill.
**とんでもない**,absurd; (exp) for something wildly off the mark and alone it deflects thanks or praise.
**本物[ほんもの]**,the real thing; (n) for the genuine article set against a fake or a cheap imitation.
**回[かい]**,times; (n) Counter for discrete repetitions of an act such as tries or attempts.
**めでたい**,joyous; (i-adj) for occasions worth celebrating and applied to a person it means naive.
**おぬし**,you (archaic; (pron) Archaic pronoun used by swordsmen and old sages toward an equal or a lesser.
**日記[にっき]**,diary; (n) for the daily written record and also each single entry you write.
**部隊[ぶたい]**,unit; (n) for a named military formation smaller than a full army.
**法皇[ほうおう]**,pontiff; (n) for the church head who rules as a monarch in his own right.
**素直[すなお]**,honest; (na-adj) for unguarded compliance which praises a child and jabs at an adult.
**無効[むこう]**,invalid; (n) for a spell rule or contract stripped of all its force.
**慌[あわ]てる**,to panic; (v) for flustered rushing and its command tells someone to slow down.
**胃袋[いぶくろ]**,stomach; (n) literally a stomach bag so it stands for how much you can eat.
**薬[くすり]**,medicine; (n) covering any drug or remedy including powders pills and healing potions.
**いっぱい**,full; (adv) from one cupful so it pictures a container filled to the brim.
**異常[いじょう]**,abnormality; (n) for anything off the norm and the standard term in a status check.
**強力[きょうりょく]**,powerful; (na-adj) for the sheer force a spell weapon or ally brings to bear.
**周辺[しゅうへん]**,the vicinity; (n) naming the ring of land around a point you name first.
**移動[いどう]**,movement; (n) for relocating a body or a unit to another place and never politics.
**逆[ぎゃく]**,the opposite; (n) for reversed direction and heading a clause it flips to on the contrary.
**十分[じゅうぶん]**,enough; (na-adj) reading literally as ten parts meaning a measure that is fully filled.
**厳[きび]しい**,strict; (i-adj) for demanding people and for punishing conditions that make no allowances.
**選択[せんたく]**,choice; (n) for the deliberate act of taking one option from a fixed set.
**集団[しゅうだん]**,group; (n) for a mass moving together with no command structure behind it.
**勘違[かんちが]い**,a misunderstanding; (n) for a wrong conclusion your own gut instinct led you to.
**パーセント**,percent; (n) Loanword noun for exact hundredths and the precise technical option for stating odds.
**急[きゅう]**,sudden; (na-adj) for abruptness or urgency built on the sense of hurrying.
**酒[さけ]**,alcohol; (n) covering every alcoholic drink and not only the brewed rice kind.
**裏切[うらぎ]る**,to betray; (v) literally cutting at someone from behind their own back.
**けど**,but (casual); (conj) Casual conjunction marking opposition and often left hanging at a sentence end to hedge.
**避難[ひなん]**,taking shelter; (n) for an organized move out of danger ordered for civilians.
**向[む]ける**,to turn something toward; (v) for aiming a thing at a target so it takes an object.
**感情[かんじょう]**,emotion; (n) for the inner state treated as something you can hold in check.
**制御[せいぎょ]**,control; (n) for the technical holding in check of a force or a machine.
**手伝[てつだ]う**,to help out; (v) for lending a hand with a task already in progress.
**皆殺[みなごろ]し**,slaughtering everyone; (n) for total extermination of a group leaving no survivor at all.
**中央[ちゅうおう]**,the center; (n) for the central point of a territory or an organization.
**減[へ]る**,to decrease; (v) for an amount dropping on its own with nobody causing it.
**自信[じしん]**,self-confidence; (n) for faith placed in your own ability to pull something off.
**本日[ほんじつ]**,today (formal); (n) Formal noun for this day used in announcements and by attendants on duty.
**誕生[たんじょう]**,birth; (n) grand enough for the debut of a nation or an era.
**違[ちが]い**,difference; (n) for the gap between two things you are holding up together.
**率[ひき]いる**,to lead a force; (v) strictly for commanding troops or a group and never guiding one person.
**希望[きぼう]**,hope; (n) for a scarce wish and also your stated preference on a form.
**優秀[ゆうしゅう]**,excellent; (na-adj) praising measurable ability or results of a person or a unit.
**殴[なぐ]る**,to punch; (v) specifically for a closed fist blow landing on someone.
**秘密[ひみつ]**,secret; (n) for knowledge deliberately kept concealed from everyone outside a small circle.
**全然[ぜんぜん]**,not at all; (adv) pairing with a negative in careful speech and casually stacked on positives.
**勉強[べんきょう]**,study; (n) literally forced effort and shopkeepers use it for cutting a price.
**恐[おそ]ろしい**,terrifying; (i-adj) describing the thing that inspires dread in whoever meets it.
**招待[しょうたい]**,invitation; (n) for a formal invitation issued by a host and never a casual tagalong.
**夏[なつ]**,summer; (n) naming one of the four seasons and alone it announces the season arrived.
**獣人[じゅうじん]**,beastman; (n) for a distinct race born with animal traits and never a transformed human.
**挑戦[ちょうせん]**,challenge; (n) always seen from the challenger side taking on an opponent or hard attempt.
**賠償[ばいしょう]**,reparations; (n) for legal payment making amends for damage a party inflicted.
**閃光[せんこう]**,a flash of light; (n) for a single instantaneous burst of blinding brightness.
**人生[じんせい]**,one's life; (n) for the whole span and course of a human life.
**有名[ゆうめい]**,famous; (na-adj) literally saying a thing has a name that everyone knows.
**変[へん]**,strange; (na-adj) framing oddness as deviation from normal so it calls people creepy.
**意外[いがい]**,unexpected; (na-adj) for what falls outside what you were expecting to happen.
**対象[たいしょう]**,target; (n) for the neutral thing an action is aimed at with no hostility.
**たくさん**,a lot; (adv) for a large amount of anything countable or not in casual speech.
**鉱石[こうせき]**,ore; (n) for unrefined rock dug up as raw material for smiths.
**加護[かご]**,divine protection; (n) for protection bestowed only by gods or higher beings on a mortal.
**忠誠[ちゅうせい]**,loyalty; (n) for sworn allegiance owed by a retainer to his lord.
**暮[く]らす**,to live one's daily life; (v) for passing your days and making a living somewhere.
**兄貴[あにき]**,big brother; (n) for rough affectionate address to an older brother or a gang senior.
**後悔[こうかい]**,regret; (n) for the sour backward look at a choice you made yourself.
**今年[ことし]**,this year; (n) naming the calendar year you are living through as one whole stretch.
**関[かん]する**,to concern; (v) for being about a topic used in stiff written reports.
**ごめん**,sorry; (exp) Casual apology expression between equals and far too light for a superior.
**爆炎[ばくえん]**,explosive flames; (n) coined from burst and flame for a named attack in this world.
**ちょうど**,exactly; (adv) pinning something exactly on a point of time size or amount.
**活躍[かつやく]**,playing an active part; (n) for visible achievement that other people notice and talk about.
**一気[いっき]**,in one go; (n) for doing something with no pause used of drinking and of finishing work.
**突然[とつぜん]**,suddenly; (adv) for an abrupt turn that is usually unwelcome or alarming.
**まさに**,exactly; (adv) giving emphatic confirmation that a label fits its target perfectly.
**成[な]す**,to form; (v) Literary verb for bringing something into being surviving mostly in set phrases.
**きちんと**,neatly; (adv) for tidily and up to the standard someone expects of you.
**虫[むし]**,insect; (n) covering insects worms and bugs broadly and also insulting a contemptible weakling.
**驚[おどろ]く**,to be surprised; (v) for the involuntary jolt of shock felt by the person surprised.
**指揮[しき]**,command; (n) for directing troops or an orchestra as an ongoing role.
**以前[いぜん]**,before; (n) for some unspecified earlier time with no hint of how long ago.
**転送[てんそう]**,teleporting; (n) from transfer and send used for magical relocation and for forwarding mail.
**漫画[まんが]**,manga; (n) literally meaning rambling pictures and covering foreign comics too.
**優勝[ゆうしょう]**,winning the tournament; (n) for taking first place overall across a whole competition.
**妖魔[ようま]**,monster; (n) for an eerie supernatural apparition with a folkloric flavour.
**武闘[ぶとう]**,martial combat; (n) for armed fighting appearing almost only inside tournament names.
**痛[いた]い**,painful; (i-adj) describing the ache felt by the sufferer and also something embarrassing to watch.
**エキストラ**,extra; (n) Loanword noun marking a power rank above ordinary skills in this world.
**濃度[のうど]**,concentration; (n) for how thick or dense a mixture is on a rising scale.
**発生[はっせい]**,occurrence; (n) for something undesirable coming into existence by itself.
**割[わり]**,proportion; (n) meaning one tenth so it also names the payoff ratio on a risk.
**発言[はつげん]**,remark; (n) for a statement made on the record in a meeting or public setting.
**この世[よ]**,this world; (n) for the world of the living as opposed to the afterlife.
**呼[よ]び出[だ]す**,to summon; (v) from call and put out for making someone come away to you.
**女[おんな]の子[こ]**,girl; (n) Informal noun for a child or young woman and slightly familiar in tone.
**寝[ね]る**,to sleep; (v) for lying down or turning in which need not involve actually dozing off.
**味[あじ]**,taste; (n) for the flavour a thing possesses and never the act of tasting it.
**次第[しだい]**,depending on; (n) making an outcome hinge on something and after a verb meaning immediately after.
**外[そと]**,outside; (n) for outdoors or the space beyond a boundary line.
**従[したが]える**,to have someone in one's train; (v) for leading followers who obey you marking the retinue as object.
**友[とも]**,friend; (n) Grand literary noun used in direct address and sounding like a speech.
**チーム**,team; (n) Loanword noun for a unit formed deliberately around a shared purpose.
**通[つう]じる**,to get through; (v) for a message or a road successfully getting through to the other end.
**調子[ちょうし]**,condition; (n) for the current state of a body a machine or a run of luck.
**正式[せいしき]**,formal; (na-adj) for what follows officially recognised procedure and carries authority.
**了解[りょうかい]**,understood; (n) acknowledging an instruction and sounding clipped when aimed upward.
**被害[ひがい]**,damage suffered; (n) for harm counted from the side that suffered it.
**隊長[たいちょう]**,captain of a unit; (n) for the head of a squad or unit in the field.
**怪[あや]しい**,suspicious; (i-adj) for what looks dubious and cannot be trusted yet.
**小[ちい]さい**,small; (i-adj) for little size and also used of a young child.
**開発[かいはつ]**,development; (n) for deliberately building something new such as land products or software.
**自然[しぜん]**,nature; (n) for the natural world and also an adjective meaning unforced.
**仕掛[しか]ける**,to set a trap; (v) for making the first move on someone with a trap a fight or an argument.
**防衛[ぼうえい]**,defense; (n) for military protection of territory as a standing task.
**諦[あきら]める**,to give up; (v) for releasing a hope you had been holding onto.
**答[こた]え**,answer; (n) for what you give in reply or the solution to a problem.
**見極[みきわ]める**,to ascertain; (v) for looking until you judge a thing's true nature not merely spotting it.
**形[かたち]**,shape; (n) for the visible outward contour of a thing.
**怒[いか]り**,anger; (n) for burning rage heavy enough for a demon lord to announce.
**精神[せいしん]**,mind; (n) for mind and willpower as against the body never a ghost.
**目指[めざ]す**,to aim for; (v) for fixing your eyes on a goal and working toward it.
**弟子[でし]**,disciple; (n) for a live-in follower learning a craft directly from one master.
**賛成[さんせい]**,agreement; (n) for voting yes to a plan or motion in a group.
**扱[あつか]う**,to handle; (v) covering wielding a tool and treating a person a certain way.
**宿[やど]る**,to dwell within; (v) Intransitive verb for a spirit or power residing inside an object.
**攻略[こうりゃく]**,conquering; (n) from attack and take for beating a dungeon or cracking a puzzle.
**選[えら]ぶ**,to choose; (v) for picking from options actually laid out in front of you.
**友好[ゆうこう]**,friendly relations; (n) for goodwill between nations or groups never between two people.
**司教[しきょう]**,bishop; (n) naming a church office of administration and implying no personal holiness.
**天狗[てんぐ]**,tengu; (n) for a winged long-nosed mountain goblin from native folklore.
**聖人[せいじん]**,saint; (n) for a title of reverence that other people grant you.
**殿下[でんか]**,Your Highness; (n) Honorific noun addressing a prince or princess but never the reigning monarch.
**自慢[じまん]**,boasting; (n) for bragging which sounds childish alone but marks a prized possession before a noun.
**生命[せいめい]**,life; (n) for life as a phenomenon and never one creature's own span.
**備[そな]える**,to be equipped with; (v) for standing ready for whatever may come marking what you brace against.
**辺[へん]**,area; (n) for a vague zone used only after a pointing word.
**あっさり**,easily; (adv) for plainly and with no resistance and also of light unfussy food.
**改[あらた]めて**,once again; (adv) for doing something over with added ceremony and formality.
**モンスター**,monster; (n) Game-flavoured loanword noun for the hostile creatures this world is full of.
**圧倒[あっとう]**,overwhelming an opponent; (n) from press and topple for winning by a sheer margin.
**ありがたい**,welcome; (i-adj) describing the welcome thing you receive and never the grateful person.
**よこす**,to send over; (v) Casual verb for sending something toward the speaker's own position.
**予想[よそう]**,prediction; (n) for a guess made beforehand about how things will turn out.
**比[くら]べる**,to compare; (v) for setting two things side by side to weigh them.
**襲撃[しゅうげき]**,a raid; (n) from attack and strike for one sudden raid on a target.
**授[さず]ける**,to bestow; (v) for granting downward from lord to vassal or god to mortal.
**回[まわ]す**,to turn; (v) Transitive verb for routing or spinning something around a circuit.
**イメージ**,mental image; (n) Loanword noun for what you picture inside your head not your public standing.
**気分[きぶん]**,mood; (n) for a passing mood or bodily feeling of the moment.
**団長[だんちょう]**,the leader of a group or order; (n) for the head of a knight order or a travelling troupe.
**発見[はっけん]**,discovery; (n) for finding what was already there waiting to be noticed.
**肉[にく]**,meat; (n) for meat as food and also flesh on a living body.
**空[そら]**,sky; (n) for the open sky overhead as a place you look toward.
**出番[でばん]**,one's turn to act; (n) from going out and order for your cue to step forward.
**張[は]る**,to stretch; (v) for stretching something taut across a space such as nets and tents.
**辺[あた]り**,vicinity; (n) for a rough neighbourhood of place or time attaching freely to either.
**去[さ]る**,to leave; (v) for departing a place for good with no return implied.
**時点[じてん]**,point in time; (n) for a single moment used as a reference marker not a span.
**凄[すさ]まじい**,tremendous; (i-adj) for overwhelming force edged with dread and unsuited to praise.
**かなう**,to be a match for; (v) almost always negated for failing to measure up to someone.
**手段[しゅだん]**,means; (n) for a concrete means to an end hinting at what you will stoop to.
**戦場[せんじょう]**,battlefield; (n) for the ground where fighting actually takes place.
**茶[ちゃ]**,tea; (n) for tea that sounds rough and masculine in this bare shape.
**手出[てだ]し**,meddling; (n) from hand and put out for interfering with or attacking someone.
**ようやく**,finally; (adv) for something arriving at last after a long wait and with relief.
